City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Port Alfred,ZA,-33.5906,26.891,64.18,93,100,5.01,overcast clouds
80,Talcahuano,CL,-36.7167,-73.1167,56.88,88,75,9.22,broken clouds
81,Klaksvik,FO,62.2266,-6.589,47.32,91,67,10.36,light rain
82,Songjianghe,CN,42.1859,127.479,48.42,44,0,9.75,clear sky
83,Bengkulu,ID,-3.8004,102.2655,83.19,68,100,5.3,light rain
84,Touros,BR,-5.1989,-35.4608,77.11,80,33,9.84,scattered clouds
85,Praia,CV,14.9215,-23.5087,75.74,73,0,11.5,clear sky
86,Port Augusta,AU,-32.5,137.7667,95.5,20,57,26.93,broken clouds
87,Tautira,PF,-17.7333,-149.15,77.02,75,86,6.2,overcast clouds
88,Iquitos,PE,-3.7481,-73.2472,78.84,83,0,2.3,clear sky
89,Sebrovo,RU,50.0981,43.2976,36.82,91,100,5.79,overcast clouds
90,Chuy,UY,-33.6971,-53.4616,55.62,88,0,5.53,clear sky
91,Puerto Leguizamo,CO,-0.1934,-74.7819,72.59,93,97,1.74,overcast clouds
92,Tonantins,BR,-2.8731,-67.8022,73.33,96,27,2.62,scattered clouds
93,Pangnirtung,CA,66.1451,-65.7125,10.29,69,100,2.46,overcast clouds
94,Wattegama,LK,6.7989,81.4808,80.82,75,99,8.32,overcast clouds
95,Hotaka,JP,36.3396,137.8825,58.5,53,0,3.44,clear sky
96,Manaus,BR,-3.1019,-60.025,82.89,78,0,4.61,clear sky
97,Ngunguru,NZ,-35.6167,174.5,65.05,77,63,3.94,broken clouds
98,Nouadhibou,MR,20.931,-17.0347,67.98,83,100,13.8,overcast clouds
99,Covington,US,39.0837,-84.5086,53.11,54,20,9.22,few clouds
100,Anadyr,RU,64.75,177.4833,19.9,86,75,6.71,light snow
101,Gandajika,CD,-6.75,23.95,65.23,97,100,0.92,overcast clouds
102,La Romana,DO,18.4273,-68.9728,75.56,94,20,0,few clouds
103,Cockburn Town,TC,21.4612,-71.1419,81.68,70,1,12.3,clear sky
104,Sibolga,ID,1.7427,98.7792,83.89,71,97,2.82,overcast clouds
105,Nantucket,US,41.2835,-70.0995,50.11,53,0,18.41,clear sky
106,Wanning,CN,18.8003,110.3967,78.01,86,72,8.86,broken clouds
107,Freeport,US,40.6576,-73.5832,51.03,38,0,12.66,clear sky
108,New Norfolk,AU,-42.7826,147.0587,81.91,29,89,3,overcast clouds
109,Somerset East,ZA,-32.7217,25.588,59.4,87,82,2.62,broken clouds
110,Jumla,NP,29.2747,82.1838,55.49,42,75,3.38,broken clouds
111,Malanje,AO,-9.5402,16.341,64.54,87,100,7.49,overcast clouds
112,Rio Grande,BR,-32.035,-52.0986,61.21,80,1,12.46,clear sky
113,Hobart,AU,-42.8794,147.3294,82.27,66,20,12.66,few clouds
